Column1;Run;Assay Type;AvgSpotLen;Bases;BioProject;BioSample;Bytes;Center Name;Consent;DATASTORE filetype;DATASTORE provider;DATASTORE region;Experiment;Instrument;Library Name;LibraryLayout;LibrarySelection;LibrarySource;Organism;Platform;ReleaseDate;create_date;version;Sample Name;SRA Study;Collection_Date;geo_loc_name_country;geo_loc_name_country_continent;geo_loc_name;BioSampleModel;isolation_source;HOST;lat_lon;isolate;source_material_id;sample_type;strain;env_broad_scale;env_local_scale;env_medium;ENA-FIRST-PUBLIC (run);ENA-LAST-UPDATE (run);Sample_name;Scientific_Name;INSDC_center_name;INSDC_status;Submitter_Id;common_name;ena_first_public;ena_last_update;external_id;INSDC_first_public;INSDC_last_update;ArrayExpress-SPECIES;sample_description;samp_mat_process;ref_biomaterial;collected_by;tissue;source_uvig;virus_enrich_appr;replicate;host_subject_id;project_name;host_common_name;geographic_location_(country_and/or_sea);geographic_location_(latitude);geographic_location_(longitude);host_tissue_sampled;broad-scale_environmental_context;ENA_first_public.1;ENA-STATUS-ID (exp);ENA-STATUS-ID (run);environmental_medium;local_environmental_context;Broker_name;Biological_Replicate;host_scientific_name;lab_host;fasta_file (run);host_taxid;isol_growth_condt;propagation;Host_Age;host_sex;specimen_voucher;host_body_product;host_tot_mass;misc_param;samp_capt_status;sex;BREED;Cultivar;dev_stage;ecotype;sub_species;sequencing_approach;actual_read_length (run);Investigation_type;library_id;RUN (run);total_bases (run);Host_disease;environment_(biome);environment_(feature);environment_(material);host-associated_environmental_package;Sequencing_method;samp_collect_device;SUBMISSION_TOOL (exp);SUBMISSION_TOOL (run);submission_tool;SUBMISSION_TOOL_VERSION (exp);SUBMISSION_TOOL_VERSION (run);SUBMISSION_TOOL_VERSION;genbank_accession;samp_size;sampleNumber;specific_host;virus_enrich_app;altitude;BIOME;env_package;experimental_factor;feature;identified_by;label;material;sample_ID;Host_Diet;organism.1;rel_to_oxygen
590;SRR12179524;OTHER;379;351183254;PRJNA565775;SAMN15468910;194496392;VITALANT RESEARCH INSTITUTE;public;fastq,sra,run.zq;s3,ncbi,gs;s3.us-east-1,gs.us-east1,ncbi.public;SRX8694129;Illumina MiSeq;TR2;PAIRED;RANDOM PCR;METAGENOMIC;feces metagenome;ILLUMINA;19.10.2020 3:00;09.07.2020 9:53;1;TR2;SRP222061;2020-06-01;USA;North America;USA;Metagenome or environmental;;Chiroptera;missing;;bat guano TR2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
591;SRR12179525;OTHER;375;454570743;PRJNA565775;SAMN15468909;250675705;VITALANT RESEARCH INSTITUTE;public;run.zq,fastq,sra;ncbi,gs,s3;s3.us-east-1,gs.us-east1,ncbi.public;SRX8694128;Illumina MiSeq;TR1;PAIRED;RANDOM PCR;METAGENOMIC;feces metagenome;ILLUMINA;19.10.2020 3:00;09.07.2020 9:53;1;TR1;SRP222061;2020-06-01;USA;North America;USA;Metagenome or environmental;;Chiroptera;missing;;bat guano TR1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
592;SRR12179526;OTHER;379;435351134;PRJNA565775;SAMN15468908;245063785;VITALANT RESEARCH INSTITUTE;public;run.zq,fastq,sra;s3,ncbi,gs;gs.us-east1,ncbi.public,s3.us-east-1;SRX8694127;Illumina MiSeq;UR;PAIRED;RANDOM PCR;METAGENOMIC;feces metagenome;ILLUMINA;19.10.2020 3:00;09.07.2020 9:53;1;UR;SRP222061;2019-06-01;USA;North America;USA;Metagenome or environmental;;Chiroptera;missing;;bat guano UR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
593;SRR12179527;OTHER;384;583351226;PRJNA565775;SAMN15468907;313644741;VITALANT RESEARCH INSTITUTE;public;run.zq,sra,fastq;s3,ncbi,gs;s3.us-east-1,ncbi.public,gs.us-east1;SRX8694126;Illumina MiSeq;MR2;PAIRED;RANDOM PCR;METAGENOMIC;feces metagenome;ILLUMINA;19.10.2020 3:00;09.07.2020 9:54;1;MR2;SRP222061;2019-02-01;USA;North America;USA;Metagenome or environmental;;Chiroptera;missing;;bat guano MR2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
594;SRR12179528;OTHER;440;434306193;PRJNA565775;SAMN15468906;242722103;VITALANT RESEARCH INSTITUTE;public;fastq,run.zq,sra;gs,ncbi,s3;ncbi.public,gs.us-east1,s3.us-east-1;SRX8694125;Illumina MiSeq;MR1;PAIRED;RANDOM PCR;METAGENOMIC;feces metagenome;ILLUMINA;19.10.2020 3:00;09.07.2020 9:54;1;MR1;SRP222061;2019-02-01;USA;North America;USA;Metagenome or environmental;;Chiroptera;missing;;bat guano MR1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
595;SRR12179529;OTHER;433;407599462;PRJNA565775;SAMN15468905;215044304;VITALANT RESEARCH INSTITUTE;public;sra,run.zq,fastq;ncbi,gs,s3;s3.us-east-1,ncbi.public,gs.us-east1;SRX8694124;Illumina MiSeq;CR2;PAIRED;RANDOM PCR;METAGENOMIC;feces metagenome;ILLUMINA;19.10.2020 3:00;09.07.2020 9:53;1;CR2;SRP222061;2019-02-01;USA;North America;USA;Metagenome or environmental;;Chiroptera;missing;;bat guano CR2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
596;SRR12179530;OTHER;426;501893824;PRJNA565775;SAMN15468904;266259963;VITALANT RESEARCH INSTITUTE;public;run.zq,fastq,sra;s3,ncbi,gs;s3.us-east-1,ncbi.public,gs.us-east1;SRX8694123;Illumina MiSeq;CR1;PAIRED;RANDOM PCR;METAGENOMIC;feces metagenome;ILLUMINA;19.10.2020 3:00;09.07.2020 9:54;1;CR1;SRP222061;2019-02-01;USA;North America;USA;Metagenome or environmental;;Chiroptera;missing;;bat guano CR1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
597;SRR17578398;WGS;150;58349869;PRJNA795992;SAMN24891007;26838162;SWEDISH DEFENCE RESEARCH AGENCY (FOI);public;run.zq,fastq,sra;s3,gs,ncbi;s3.us-east-1,ncbi.public,gs.us-east1;SRX13747580;Illumina MiSeq;Bat Guano 15 TCVRP-1;PAIRED;Hybrid Selection;METAGENOMIC;metagenome;ILLUMINA;25.08.2022 3:00;12.01.2022 14:09;1;Bat Guano 15;SRP354655;2020-07;Sweden;Europe;Sweden;Metagenome or environmental;;Myotis daubentonii;55.930 N 13.975 E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
598;SRR18243784;WGS;101;1582027842;PRJNA812346;SAMN26417685;550255334;UNIVERSITY OF WASHINGTON;public;sra,run.zq,fastq;s3,ncbi,gs;ncbi.public,gs.us-east1,s3.us-east-1;SRX14385222;NextSeq 2000;Myotis_Cal_B_S12_L001_nonhost_R1;SINGLE;RANDOM;METAGENOMIC;bat metagenome;ILLUMINA;05.03.2022 3:00;05.03.2022 19:00;1;Myotis Californicus guano metagenome B 102021;SRP362673;2021-10;USA;North America;USA: Washington;Metagenome or environmental;Guano\, Happy Valley Bats;Myotis californicus;47.7601 N 122.2054 W;;;;;;;;;;;;;;;;;;;;;;;;Guano;;Guano;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
599;SRR18243785;WGS;101;6157986564;PRJNA812346;SAMN26417684;2172731586;UNIVERSITY OF WASHINGTON;public;fastq,run.zq,sra;ncbi,s3,gs;gs.us-east1,ncbi.public,s3.us-east-1;SRX14385221;NextSeq 2000;E_Fus_Fb_S6_L001_nonhost_R1;SINGLE;RANDOM;METAGENOMIC;bat metagenome;ILLUMINA;15.03.2022 3:00;12.03.2022 15:21;1;Eptesicus Fuscus guano metagenome FB 102021;SRP362673;2021-10;USA;North America;USA: Washington;Metagenome or environmental;Guano\, Happy Valley Bats;Eptesicus fuscus;47.7601 N 122.2054 W;;;;;;;;;;;;;;;;;;;;;;;;Guano;;Guano;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
663;SRR13380247;WGS;198;302570256;PRJNA689713;SAMN17215153;125867496;DUKE-NUS GRADUATE MEDICAL SCHOOL;public;sra,run.zq,fastq;ncbi,s3,gs;s3.us-east-1,ncbi.public,gs.us-east1;SRX9803177;Illumina MiSeq;5;PAIRED;PCR;VIRAL RNA;Bat coronavirus RacCS271;ILLUMINA;07.01.2021 3:00;07.01.2021 19:25;1;Rectal swab of Rhinolophus acuminatus B20271;SRP300806;2020-06-20;Thailand;Asia;Thailand;Viral;Rectal swab;Rhinolophus acuminatus;;RacCS271;;;;tropical biome;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
664;SRR13380248;WGS;198;212348149;PRJNA689713;SAMN17215152;90136030;DUKE-NUS GRADUATE MEDICAL SCHOOL;public;sra,run.zq,fastq;gs,ncbi,s3;s3.us-east-1,ncbi.public,gs.us-east1;SRX9803176;Illumina MiSeq;4;PAIRED;PCR;VIRAL RNA;Bat coronavirus RacCS264;ILLUMINA;07.01.2021 3:00;07.01.2021 19:26;1;Rectal swab of Rhinolophus acuminatus B20264;SRP300806;2020-06-20;Thailand;Asia;Thailand;Viral;Rectal swab;Rhinolophus acuminatus;;RacCS264;;;;tropical biome;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
665;SRR13380249;WGS;198;187447565;PRJNA689713;SAMN17215151;77646557;DUKE-NUS GRADUATE MEDICAL SCHOOL;public;sra,run.zq,fastq;ncbi,gs,s3;gs.us-east1,ncbi.public,s3.us-east-1;SRX9803175;Illumina MiSeq;3;PAIRED;PCR;VIRAL RNA;Bat coronavirus RacCS253;ILLUMINA;07.01.2021 3:00;07.01.2021 19:26;1;Rectal swab of Rhinolophus acuminatus B20253;SRP300806;2020-06-19;Thailand;Asia;Thailand;Viral;Rectal swab;Rhinolophus acuminatus;;RacCS253;;;;tropical biome;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
666;SRR13380250;WGS;198;174131946;PRJNA689713;SAMN17215150;72434174;DUKE-NUS GRADUATE MEDICAL SCHOOL;public;sra,run.zq,fastq;gs,s3,ncbi;ncbi.public,s3.us-east-1,gs.us-east1;SRX9803174;Illumina MiSeq;2;PAIRED;PCR;VIRAL RNA;Bat coronavirus RacCS224;ILLUMINA;07.01.2021 3:00;07.01.2021 19:25;1;Rectal swab of Rhinolophus acuminatus  B20224;SRP300806;2020-06-19;Thailand;Asia;Thailand;Viral;Rectal swab;Rhinolophus acuminatus;;RacCS224;;;;tropical biome;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
667;SRR13380251;WGS;197;4685289965;PRJNA689713;SAMN17215149;2210006525;DUKE-NUS GRADUATE MEDICAL SCHOOL;public;sra,run.zq,fastq;s3,ncbi,gs;s3.us-east-1,ncbi.public,gs.us-east1;SRX9803173;Illumina MiSeq;1;PAIRED;PCR;VIRAL RNA;Bat coronavirus RacCS203;ILLUMINA;07.01.2021 3:00;07.01.2021 19:53;1;Rectal swab of Rhinolophus acuminatus B20203;SRP300806;2020-06-19;Thailand;Asia;Thailand;Viral;Rectal swab;Rhinolophus acuminatus;;RacCS203;;;;tropical biome;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
668;DRR059024;WGS;602;141186458;PRJDB4733;SAMD00050884;79425559;TOKYO_AGRITECH;public;sra,run.zq;s3,ncbi,gs;s3.us-east-1,gs.us-east1,ncbi.public;DRX053603;Illumina MiSeq;;PAIRED;PCR;METAGENOMIC;gut metagenome;ILLUMINA;05.04.2018 3:00;05.04.2018 20:09;1;SAMD00050884;DRP004155;2013;Philippines;Asia;Philippines:Davao\, Davao;MIMARKS.survey.host-associated;;Rousettus amplexicaudatus;6.270718 N 126.192688 E;;;;;bat gut;bat-associated habitat;swab;;;JDVA0003;;;;;;;;;;;;;;;;;;;;;microbiome study on bat intestine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
669;SRR8759221;RNA-Seq;271;19907900;PRJNA433098;SAMN08470239;11731683;CROATIAN VETERINARY INSTITUTE;public;fastq,run.zq,sra;gs,ncbi,s3;gs.us-east1,ncbi.public,s3.us-east-1;SRX5549784;Illumina MiSeq;17 S_17;PAIRED;RANDOM;VIRAL RNA;gut metagenome;ILLUMINA;21.03.2019 3:00;21.03.2019 11:37;1;Cro_bat_virome;SRP189035;2016;Croatia;Europe;Croatia;Metagenome or environmental;guano;Miniopterus schreibersii;not applicable;;guano, saliva;;;;;;;;;;;;;;;;;;;;;not applicable;not applicable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;manual;;;;;;;;;;;;;;;;;;;;;;;obligate aerobe
670;ERR3179227;WGS;500;2238898000;PRJEB6505;SAMEA5366035;1339602183;WELLCOME SANGER INSTITUTE;public;cram,run.zq,sra;ena,gs,ncbi,s3;ena,gs.us-east1,ncbi.public,s3.us-east-1;ERX3207078;Illumina HiSeq 2500;DN459407R:D10;PAIRED;RANDOM;GENOMIC;viral metagenome;ILLUMINA;28.02.2019 3:00;28.02.2019 19:38;1;SAMEA5366035;ERP006046;;;;;;;;;;;;;;;;2019-02-26;2019-02-26;752cff10-540d-11e6-9a3d-3c4a9275d6c8;viral metagenome;SC;public;752cff10-540d-11e6-9a3d-3c4a9275d6c8;viral metagenome;2019-02-26T17:02:58Z;2019-02-21T09:19:10Z;SAMEA5366035;2019-02-26T17:02:58Z;2019-02-21T09:19:10Z;viral metagenome;Total nucleic acid extraction from bat feces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
671;ERR3179228;WGS;500;2334485000;PRJEB6505;SAMEA5366036;1391876884;WELLCOME SANGER INSTITUTE;public;cram,run.zq,sra;ena,gs,ncbi,s3;ena,gs.us-east1,ncbi.public,s3.us-east-1;ERX3207079;Illumina HiSeq 2500;DN459407R:E10;PAIRED;RANDOM;GENOMIC;viral metagenome;ILLUMINA;28.02.2019 3:00;28.02.2019 20:13;1;SAMEA5366036;ERP006046;;;;;;;;;;;;;;;;2019-02-26;2019-02-26;7536c310-540d-11e6-9a3d-3c4a9275d6c8;viral metagenome;SC;public;7536c310-540d-11e6-9a3d-3c4a9275d6c8;viral metagenome;2019-02-26T17:02:58Z;2019-02-21T09:19:11Z;SAMEA5366036;2019-02-26T17:02:58Z;2019-02-21T09:19:11Z;viral metagenome;Total nucleic acid extraction from bat feces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
672;ERR3179229;WGS;500;2273509000;PRJEB6505;SAMEA5366037;1357611868;WELLCOME SANGER INSTITUTE;public;cram,run.zq,sra;ena,gs,ncbi,s3;ena,gs.us-east1,ncbi.public,s3.us-east-1;ERX3207080;Illumina HiSeq 2500;DN459407R:F10;PAIRED;RANDOM;GENOMIC;viral metagenome;ILLUMINA;28.02.2019 3:00;28.02.2019 20:41;1;SAMEA5366037;ERP006046;;;;;;;;;;;;;;;;2019-02-26;2019-02-26;753f9cb0-540d-11e6-9a3d-3c4a9275d6c8;viral metagenome;SC;public;753f9cb0-540d-11e6-9a3d-3c4a9275d6c8;viral metagenome;2019-02-26T17:02:58Z;2019-02-21T09:19:11Z;SAMEA5366037;2019-02-26T17:02:58Z;2019-02-21T09:19:11Z;viral metagenome;Total nucleic acid extraction from bat feces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
673;ERR3179230;WGS;500;2376681000;PRJEB6505;SAMEA5366038;1404835889;WELLCOME SANGER INSTITUTE;public;cram,run.zq,sra;ena,gs,ncbi,s3;ena,gs.us-east1,ncbi.public,s3.us-east-1;ERX3207081;Illumina HiSeq 2500;DN459407R:G10;PAIRED;RANDOM;GENOMIC;viral metagenome;ILLUMINA;28.02.2019 3:00;28.02.2019 19:59;1;SAMEA5366038;ERP006046;;;;;;;;;;;;;;;;2019-02-26;2019-02-26;754bd1b0-540d-11e6-9a3d-3c4a9275d6c8;viral metagenome;SC;public;754bd1b0-540d-11e6-9a3d-3c4a9275d6c8;viral metagenome;2019-02-26T17:02:58Z;2019-02-21T09:19:12Z;SAMEA5366038;2019-02-26T17:02:58Z;2019-02-21T09:19:12Z;viral metagenome;Total nucleic acid extraction from bat feces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
674;ERR3179231;WGS;500;2212187000;PRJEB6505;SAMEA5366039;1314017864;WELLCOME SANGER INSTITUTE;public;cram,run.zq,sra;ena,gs,ncbi,s3;ena,gs.us-east1,ncbi.public,s3.us-east-1;ERX3207082;Illumina HiSeq 2500;DN459407R:H10;PAIRED;RANDOM;GENOMIC;viral metagenome;ILLUMINA;28.02.2019 3:00;28.02.2019 17:44;1;SAMEA5366039;ERP006046;;;;;;;;;;;;;;;;2019-02-26;2019-02-26;7556f540-540d-11e6-9a3d-3c4a9275d6c8;viral metagenome;SC;public;7556f540-540d-11e6-9a3d-3c4a9275d6c8;viral metagenome;2019-02-26T17:02:58Z;2019-02-21T09:19:12Z;SAMEA5366039;2019-02-26T17:02:58Z;2019-02-21T09:19:12Z;viral metagenome;Total nucleic acid extraction from bat feces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
675;ERR3179232;WGS;500;2283943000;PRJEB6505;SAMEA5366040;1356399047;WELLCOME SANGER INSTITUTE;public;cram,run.zq,sra;ena,gs,ncbi,s3;ena,gs.us-east1,ncbi.public,s3.us-east-1;ERX3207083;Illumina HiSeq 2500;DN459407R:A11;PAIRED;RANDOM;GENOMIC;viral metagenome;ILLUMINA;28.02.2019 3:00;28.02.2019 18:14;1;SAMEA5366040;ERP006046;;;;;;;;;;;;;;;;2019-02-26;2019-02-26;75615580-540d-11e6-9a3d-3c4a9275d6c8;viral metagenome;SC;public;75615580-540d-11e6-9a3d-3c4a9275d6c8;viral metagenome;2019-02-26T17:02:58Z;2019-02-21T09:19:13Z;SAMEA5366040;2019-02-26T17:02:58Z;2019-02-21T09:19:13Z;viral metagenome;Total nucleic acid extraction from bat feces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
676;ERR3179233;WGS;500;2833176000;PRJEB6505;SAMEA5366041;1689084106;WELLCOME SANGER INSTITUTE;public;cram,run.zq,sra;ena,gs,ncbi,s3;ena,gs.us-east1,ncbi.public,s3.us-east-1;ERX3207084;Illumina HiSeq 2500;DN459407R:B11;PAIRED;RANDOM;GENOMIC;viral metagenome;ILLUMINA;28.02.2019 3:00;28.02.2019 17:37;1;SAMEA5366041;ERP006046;;;;;;;;;;;;;;;;2019-02-26;2019-02-26;756cc730-540d-11e6-9a3d-3c4a9275d6c8;viral metagenome;SC;public;756cc730-540d-11e6-9a3d-3c4a9275d6c8;viral metagenome;2019-02-26T17:02:58Z;2019-02-21T09:19:13Z;SAMEA5366041;2019-02-26T17:02:58Z;2019-02-21T09:19:13Z;viral metagenome;Total nucleic acid extraction from bat feces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
677;ERR3179234;WGS;500;273111000;PRJEB6505;SAMEA5366042;164906134;WELLCOME SANGER INSTITUTE;public;cram,run.zq,sra;ena,gs,ncbi,s3;ena,gs.us-east1,ncbi.public,s3.us-east-1;ERX3207085;Illumina HiSeq 2500;DN459407R:C11;PAIRED;RANDOM;GENOMIC;viral metagenome;ILLUMINA;28.02.2019 3:00;28.02.2019 18:00;1;SAMEA5366042;ERP006046;;;;;;;;;;;;;;;;2019-02-26;2019-02-26;757838e0-540d-11e6-9a3d-3c4a9275d6c8;viral metagenome;SC;public;757838e0-540d-11e6-9a3d-3c4a9275d6c8;viral metagenome;2019-02-26T17:02:58Z;2019-02-21T09:19:14Z;SAMEA5366042;2019-02-26T17:02:58Z;2019-02-21T09:19:14Z;viral metagenome;Total nucleic acid extraction from bat feces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
678;ERR3179235;WGS;500;1981408000;PRJEB6505;SAMEA5366043;1179212727;WELLCOME SANGER INSTITUTE;public;cram,run.zq,sra;ena,gs,ncbi,s3;ena,gs.us-east1,ncbi.public,s3.us-east-1;ERX3207086;Illumina HiSeq 2500;DN459407R:D11;PAIRED;RANDOM;GENOMIC;viral metagenome;ILLUMINA;28.02.2019 3:00;28.02.2019 20:27;1;SAMEA5366043;ERP006046;;;;;;;;;;;;;;;;2019-02-26;2019-02-26;75833560-540d-11e6-9a3d-3c4a9275d6c8;viral metagenome;SC;public;75833560-540d-11e6-9a3d-3c4a9275d6c8;viral metagenome;2019-02-26T17:02:58Z;2019-02-21T09:19:14Z;SAMEA5366043;2019-02-26T17:02:58Z;2019-02-21T09:19:14Z;viral metagenome;Total nucleic acid extraction from bat feces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
679;ERR3179236;WGS;500;2083023000;PRJEB6505;SAMEA5366044;1250664162;WELLCOME SANGER INSTITUTE;public;cram,run.zq,sra;ena,gs,ncbi,s3;ena,gs.us-east1,ncbi.public,s3.us-east-1;ERX3207087;Illumina HiSeq 2500;DN459407R:E11;PAIRED;RANDOM;GENOMIC;viral metagenome;ILLUMINA;28.02.2019 3:00;28.02.2019 17:35;1;SAMEA5366044;ERP006046;;;;;;;;;;;;;;;;2019-02-26;2019-02-26;758ea710-540d-11e6-9a3d-3c4a9275d6c8;viral metagenome;SC;public;758ea710-540d-11e6-9a3d-3c4a9275d6c8;viral metagenome;2019-02-26T17:02:58Z;2019-02-21T09:19:15Z;SAMEA5366044;2019-02-26T17:02:58Z;2019-02-21T09:19:15Z;viral metagenome;Total nucleic acid extraction from bat feces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
680;ERR3179237;WGS;500;2171250000;PRJEB6505;SAMEA5366045;1288570965;WELLCOME SANGER INSTITUTE;public;cram,run.zq,sra;ena,gs,ncbi,s3;ena,gs.us-east1,ncbi.public,s3.us-east-1;ERX3207088;Illumina HiSeq 2500;DN459407R:F11;PAIRED;RANDOM;GENOMIC;viral metagenome;ILLUMINA;28.02.2019 3:00;28.02.2019 19:31;1;SAMEA5366045;ERP006046;;;;;;;;;;;;;;;;2019-02-26;2019-02-26;7598e040-540d-11e6-9a3d-3c4a9275d6c8;viral metagenome;SC;public;7598e040-540d-11e6-9a3d-3c4a9275d6c8;viral metagenome;2019-02-26T17:02:58Z;2019-02-21T09:19:15Z;SAMEA5366045;2019-02-26T17:02:58Z;2019-02-21T09:19:15Z;viral metagenome;Total nucleic acid extraction from bat feces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
681;ERR3179238;WGS;500;2022063000;PRJEB6505;SAMEA5366046;1212355928;WELLCOME SANGER INSTITUTE;public;cram,run.zq,sra;ena,gs,ncbi,s3;ena,gs.us-east1,ncbi.public,s3.us-east-1;ERX3207089;Illumina HiSeq 2500;DN459407R:G11;PAIRED;RANDOM;GENOMIC;viral metagenome;ILLUMINA;28.02.2019 3:00;28.02.2019 17:38;1;SAMEA5366046;ERP006046;;;;;;;;;;;;;;;;2019-02-26;2019-02-26;75a64dc0-540d-11e6-9a3d-3c4a9275d6c8;viral metagenome;SC;public;75a64dc0-540d-11e6-9a3d-3c4a9275d6c8;viral metagenome;2019-02-26T17:02:58Z;2019-02-21T09:19:16Z;SAMEA5366046;2019-02-26T17:02:58Z;2019-02-21T09:19:16Z;viral metagenome;Total nucleic acid extraction from bat feces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
682;ERR3179239;WGS;500;2080035000;PRJEB6505;SAMEA5366047;1236609676;WELLCOME SANGER INSTITUTE;public;cram,run.zq,sra;ena,gs,ncbi,s3;ena,gs.us-east1,ncbi.public,s3.us-east-1;ERX3207090;Illumina HiSeq 2500;DN459407R:H11;PAIRED;RANDOM;GENOMIC;viral metagenome;ILLUMINA;28.02.2019 3:00;28.02.2019 19:55;1;SAMEA5366047;ERP006046;;;;;;;;;;;;;;;;2019-02-26;2019-02-26;75b011c0-540d-11e6-9a3d-3c4a9275d6c8;viral metagenome;SC;public;75b011c0-540d-11e6-9a3d-3c4a9275d6c8;viral metagenome;2019-02-26T17:02:58Z;2019-02-21T09:19:16Z;SAMEA5366047;2019-02-26T17:02:58Z;2019-02-21T09:19:16Z;viral metagenome;Total nucleic acid extraction from bat feces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
