,ID,Version,GenBank title,Release date,Organism name,Virus Lineage,Species,Family,Length,Submitters,Strain,Isolate_x,Geo location,Country,Collection date,Tissue/Specimen/Source,Host,Environmental,CDS count,Artificial,UNVERIFIED,1A,1A-strand,1B,1B-strand,2,2-strand,class
6771,KY054479,KY054479.1,"Mamastrovirus sp. isolate Astrovirus_PREDICT MAstV-109/EHA-156-12-BJ-FS001 clone 283314 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,339.0,,,Astrovirus_PREDICT MAstV-109/EHA-156-12-BJ-FS001,China,,21-Feb-2013,rectal swab,Myotis ricketti,No,1.0,No,No,NA-NA,,1-339,1.0,NA-NA,,Mammalia
6772,KY054478,KY054478.1,"Mamastrovirus sp. isolate Astrovirus_PREDICT MAstV-109/EHA-156-12-BJ-FS006 clone 283313 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,294.0,,,Astrovirus_PREDICT MAstV-109/EHA-156-12-BJ-FS006,China,,21-Feb-2013,rectal swab,Myotis ricketti,No,1.0,No,No,NA-NA,,1-294,1.0,NA-NA,,Mammalia
6773,KY054477,KY054477.1,"Mamastrovirus sp. isolate Astrovirus_PREDICT MAstV-109/EHA-156-12-BJ-FS014 clone 283309 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,338.0,,,Astrovirus_PREDICT MAstV-109/EHA-156-12-BJ-FS014,China,,21-Feb-2013,rectal swab,Myotis ricketti,No,1.0,No,No,NA-NA,,1-338,1.0,NA-NA,,Mammalia
6774,KY054476,KY054476.1,"Mamastrovirus sp. isolate Astrovirus_PREDICT MAstV-109/EHA-156-12-BJ-FS013 clone 283308 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,338.0,,,Astrovirus_PREDICT MAstV-109/EHA-156-12-BJ-FS013,China,,21-Feb-2013,rectal swab,Myotis ricketti,No,1.0,No,No,NA-NA,,1-338,1.0,NA-NA,,Mammalia
6775,KY054475,KY054475.1,"Mamastrovirus sp. isolate Astrovirus_PREDICT MAstV-109/EHA-156-12-BJ-FS008 clone 283307 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,339.0,,,Astrovirus_PREDICT MAstV-109/EHA-156-12-BJ-FS008,China,,21-Feb-2013,rectal swab,Myotis ricketti,No,1.0,No,No,NA-NA,,1-339,1.0,NA-NA,,Mammalia
6776,KY054474,KY054474.1,"Mamastrovirus sp. isolate Astrovirus_PREDICT MAstV-109/EHA-156-12-BJ-FS007 clone 283306 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,299.0,,,Astrovirus_PREDICT MAstV-109/EHA-156-12-BJ-FS007,China,,21-Feb-2013,rectal swab,Myotis ricketti,No,1.0,No,No,NA-NA,,1-299,1.0,NA-NA,,Mammalia
6777,KY054473,KY054473.1,"Mamastrovirus sp. isolate Astrovirus_PREDICT MAstV-109/EHA-156-12-BJ-FS018 clone 283301 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,338.0,,,Astrovirus_PREDICT MAstV-109/EHA-156-12-BJ-FS018,China,,21-Feb-2013,rectal swab,Myotis ricketti,No,1.0,No,No,NA-NA,,1-338,1.0,NA-NA,,Mammalia
6778,KY054472,KY054472.1,"Mamastrovirus sp. isolate Astrovirus_PREDICT MAstV-109/EHA-156-12-BJ-FS010 clone 283297 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,288.0,,,Astrovirus_PREDICT MAstV-109/EHA-156-12-BJ-FS010,China,,21-Feb-2013,rectal swab,Myotis ricketti,No,1.0,No,No,NA-NA,,1-288,1.0,NA-NA,,Mammalia
6779,KY054471,KY054471.1,"Mamastrovirus sp. isolate Astrovirus_PREDICT MAstV-109/EHA-156-12-BJ-FS009 clone 283296 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,252.0,,,Astrovirus_PREDICT MAstV-109/EHA-156-12-BJ-FS009,China,,21-Feb-2013,rectal swab,Myotis ricketti,No,1.0,No,No,NA-NA,,1-252,1.0,NA-NA,,Mammalia
6780,KY054470,KY054470.1,"Mamastrovirus sp. isolate Astrovirus_PREDICT MAstV-109/EHA-156-12-BJ-FS012 clone 283294 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,338.0,,,Astrovirus_PREDICT MAstV-109/EHA-156-12-BJ-FS012,China,,21-Feb-2013,rectal swab,Myotis ricketti,No,1.0,No,No,NA-NA,,1-338,1.0,NA-NA,,Mammalia
6781,KY054469,KY054469.1,"Mamastrovirus sp. isolate Astrovirus_PREDICT MAstV-109/EHA-156-12-BJ-FS016 clone 283291 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,289.0,,,Astrovirus_PREDICT MAstV-109/EHA-156-12-BJ-FS016,China,,21-Feb-2013,rectal swab,Myotis ricketti,No,1.0,No,No,NA-NA,,1-289,1.0,NA-NA,,Mammalia
6782,KY054468,KY054468.1,"Mamastrovirus sp. isolate Astrovirus_PREDICT MAstV-109/EHA-156-12-BJ-FS015 clone 283290 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,289.0,,,Astrovirus_PREDICT MAstV-109/EHA-156-12-BJ-FS015,China,,21-Feb-2013,rectal swab,Myotis ricketti,No,1.0,No,No,NA-NA,,1-289,1.0,NA-NA,,Mammalia
6783,KY054467,KY054467.1,"Mamastrovirus sp. isolate Astrovirus_PREDICT MAstV-109/EHA-156-12-BJ-FS019 clone 283289 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,338.0,,,Astrovirus_PREDICT MAstV-109/EHA-156-12-BJ-FS019,China,,21-Feb-2013,rectal swab,Myotis ricketti,No,1.0,No,No,NA-NA,,1-338,1.0,NA-NA,,Mammalia
6784,KY054466,KY054466.1,"Mamastrovirus sp. isolate Astrovirus_PREDICT MAstV-109/EHA-156-12-BJ-FS017 clone 283288 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,289.0,,,Astrovirus_PREDICT MAstV-109/EHA-156-12-BJ-FS017,China,,21-Feb-2013,rectal swab,Myotis ricketti,No,1.0,No,No,NA-NA,,1-289,1.0,NA-NA,,Mammalia
6785,KY054465,KY054465.1,"Mamastrovirus sp. isolate Astrovirus_PREDICT MAstV-108/EHA-156-12-HB-WA013 clone 283328 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,339.0,,,Astrovirus_PREDICT MAstV-108/EHA-156-12-HB-WA013,China,,21-Apr-2013,rectal swab,Rhinolophus pusillus,No,1.0,No,No,NA-NA,,1-339,1.0,NA-NA,,Mammalia
6810,KY054440,KY054440.1,"Mamastrovirus sp. isolate Astrovirus_PREDICT MAstV-207/Cotia-18 clone 7698 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,311.0,,,Astrovirus_PREDICT MAstV-207/Cotia-18,Brazil,,27-Aug-2009,"pooled oral swab, anal swab, serum, blood clot",Artibeus lituratus,No,1.0,No,No,NA-NA,,0-311,1.0,NA-NA,,Mammalia
6811,KY054439,KY054439.1,"Mamastrovirus sp. isolate Astrovirus_PREDICT MAstV-9/Goias-93 clone 7727 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,320.0,,,Astrovirus_PREDICT MAstV-9/Goias-93,Brazil,,03-Oct-2009,"pooled oral swab, rectal swab, blood clot, serum",Carollia perspicillata,No,1.0,No,No,NA-NA,,0-320,1.0,NA-NA,,Mammalia
6812,KY054438,KY054438.1,"Mamastrovirus sp. isolate Astrovirus_PREDICT MAstV-9/Goias-95 clone 7718 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,320.0,,,Astrovirus_PREDICT MAstV-9/Goias-95,Brazil,,03-Oct-2009,"pooled oral swab, rectal swab, blood clot, serum",Carollia perspicillata,No,1.0,No,No,NA-NA,,0-320,1.0,NA-NA,,Mammalia
6813,KY054437,KY054437.1,"Mamastrovirus sp. isolate Astrovirus_PREDICT MAstV-9/Goias-82 clone 7714 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,320.0,,,Astrovirus_PREDICT MAstV-9/Goias-82,Brazil,,03-Oct-2009,"pooled oral swab, rectal swab, blood clot, serum",Carollia perspicillata,No,1.0,No,No,NA-NA,,0-320,1.0,NA-NA,,Mammalia
6815,KY054435,KY054435.1,"Mamastrovirus sp. isolate Astrovirus_PREDICT MAstV-187/GVF-CM-ECO06326 clone 286145 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,370.0,,,Astrovirus_PREDICT MAstV-187/GVF-CM-ECO06326,Cameroon,,14-Dec-2012,"oral swab, rectal swab",Eidolon helvum,No,1.0,No,No,NA-NA,,1-370,1.0,NA-NA,,Mammalia
6816,KY054434,KY054434.1,"Mamastrovirus sp. isolate Astrovirus_PREDICT MAstV-199/GVF-CM-ECO70155 clone 286147 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,348.0,,,Astrovirus_PREDICT MAstV-199/GVF-CM-ECO70155,Cameroon,,28-Mar-2013,"oral swab, rectal swab",Hipposideros caffer,No,1.0,No,No,NA-NA,,1-348,1.0,NA-NA,,Mammalia
6817,KY054433,KY054433.1,"Mamastrovirus sp. isolate Astrovirus_PREDICT MAstV-195/GVF-CM-ECO70154 clone 286146 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,147.0,,,Astrovirus_PREDICT MAstV-195/GVF-CM-ECO70154,Cameroon,,28-Mar-2013,"oral swab, rectal swab",Hipposideros caffer,No,1.0,No,No,NA-NA,,0-147,1.0,NA-NA,,Mammalia
6818,KY054432,KY054432.1,"Mamastrovirus sp. isolate Astrovirus_PREDICT MAstV-194/GVF-CM-ECO06438 clone 286144 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,341.0,,,Astrovirus_PREDICT MAstV-194/GVF-CM-ECO06438,Cameroon,,27-Jan-2013,"oral swab, rectal swab",Hipposideros commersoni,No,1.0,No,No,NA-NA,,2-341,1.0,NA-NA,,Mammalia
6819,KY054431,KY054431.1,"Mamastrovirus sp. isolate Astrovirus_PREDICT MAstV-197/GVF-CM-ECO06431 clone 286143 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,189.0,,,Astrovirus_PREDICT MAstV-197/GVF-CM-ECO06431,Cameroon,,27-Jan-2013,"oral swab, rectal swab",Hipposideros caffer,No,1.0,No,No,NA-NA,,1-189,1.0,NA-NA,,Mammalia
6820,KY054430,KY054430.1,"Mamastrovirus sp. isolate Astrovirus_PREDICT MAstV-192/GVF-CM-ECO06447 clone 286148 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,349.0,,,Astrovirus_PREDICT MAstV-192/GVF-CM-ECO06447,Cameroon,,27-Jan-2013,"oral swab, rectal swab",Hipposideros commersoni,No,1.0,No,No,NA-NA,,2-349,1.0,NA-NA,,Mammalia
6822,KY054428,KY054428.1,"Mamastrovirus sp. isolate Astrovirus_PREDICT MAstV-198/GVF-CM-ECO06298 clone 286140 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,349.0,,,Astrovirus_PREDICT MAstV-198/GVF-CM-ECO06298,Cameroon,,09-Sep-2012,"oral swab, rectal swab",Hipposideros caffer,No,1.0,No,No,NA-NA,,2-349,1.0,NA-NA,,Mammalia
6823,KY054427,KY054427.1,"Mamastrovirus sp. isolate Astrovirus_PREDICT MAstV-196/GVF-CM-ECO70484 clone 286142 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,345.0,,,Astrovirus_PREDICT MAstV-196/GVF-CM-ECO70484,Cameroon,,04-Jul-2013,"oral swab, rectal swab",Nycteris hispida,No,1.0,No,No,NA-NA,,2-345,1.0,NA-NA,,Mammalia
6932,KY054318,KY054318.1,"Miniopterus schreibersii astrovirus 9 isolate Miniopterus schreibersii Astrovirus 9/PREDICT_B56391 clone 284632 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Miniopterus schreibersii astrovirus 9,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,382.0,,,Miniopterus schreibersii Astrovirus 9/PREDICT_B56391,Thailand,,24-Nov-2013,rectal swab,Miniopterus magnater,No,1.0,No,No,NA-NA,,1-382,1.0,NA-NA,,Mammalia
6933,KY054317,KY054317.1,"Miniopterus schreibersii astrovirus 9 isolate Miniopterus schreibersii Astrovirus 9/PREDICT_B56382 clone 284645 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Miniopterus schreibersii astrovirus 9,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,382.0,,,Miniopterus schreibersii Astrovirus 9/PREDICT_B56382,Thailand,,24-Nov-2013,rectal swab,Miniopterus magnater,No,1.0,No,No,NA-NA,,1-382,1.0,NA-NA,,Mammalia
6934,KY054316,KY054316.1,"Miniopterus schreibersii astrovirus 8 isolate Miniopterus schreibersii Astrovirus 8/PREDICT_B56418 clone 284539 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Miniopterus schreibersii astrovirus 8,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,382.0,,,Miniopterus schreibersii Astrovirus 8/PREDICT_B56418,Thailand,,24-Nov-2013,rectal swab,Miniopterus magnater,No,1.0,No,No,NA-NA,,1-382,1.0,NA-NA,,Mammalia
6935,KY054315,KY054315.1,"Miniopterus schreibersii astrovirus 8 isolate Miniopterus schreibersii Astrovirus 8/PREDICT_B56394 clone 284568 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Miniopterus schreibersii astrovirus 8,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,382.0,,,Miniopterus schreibersii Astrovirus 8/PREDICT_B56394,Thailand,,24-Nov-2013,rectal swab,Miniopterus magnater,No,1.0,No,No,NA-NA,,1-382,1.0,NA-NA,,Mammalia
6936,KY054314,KY054314.1,"Miniopterus schreibersii astrovirus 8 isolate Miniopterus schreibersii Astrovirus 8/PREDICT_B56393 clone 284565 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Miniopterus schreibersii astrovirus 8,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,382.0,,,Miniopterus schreibersii Astrovirus 8/PREDICT_B56393,Thailand,,24-Nov-2013,rectal swab,Miniopterus magnater,No,1.0,No,No,NA-NA,,1-382,1.0,NA-NA,,Mammalia
6937,KY054313,KY054313.1,"Miniopterus schreibersii astrovirus 8 isolate Miniopterus schreibersii Astrovirus 8/PREDICT_B56384 clone 284576 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Miniopterus schreibersii astrovirus 8,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,345.0,,,Miniopterus schreibersii Astrovirus 8/PREDICT_B56384,Thailand,,24-Nov-2013,rectal swab,Miniopterus magnater,No,1.0,No,No,NA-NA,,1-345,1.0,NA-NA,,Mammalia
6938,KY054312,KY054312.1,"Miniopterus schreibersii astrovirus 8 isolate Miniopterus schreibersii Astrovirus 8/PREDICT_B56375 clone 284617 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Miniopterus schreibersii astrovirus 8,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,382.0,,,Miniopterus schreibersii Astrovirus 8/PREDICT_B56375,Thailand,,24-Nov-2013,rectal swab,Miniopterus magnater,No,1.0,No,No,NA-NA,,1-382,1.0,NA-NA,,Mammalia
6939,KY054311,KY054311.1,"Miniopterus schreibersii astrovirus 8 isolate Miniopterus schreibersii Astrovirus 8/PREDICT_B56373 clone 284606 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Miniopterus schreibersii astrovirus 8,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,382.0,,,Miniopterus schreibersii Astrovirus 8/PREDICT_B56373,Thailand,,24-Nov-2013,rectal swab,Miniopterus magnater,No,1.0,No,No,NA-NA,,1-382,1.0,NA-NA,,Mammalia
6940,KY054310,KY054310.1,"Miniopterus schreibersii astrovirus 8 isolate Miniopterus schreibersii Astrovirus 8/PREDICT_B56355 clone 284618 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Miniopterus schreibersii astrovirus 8,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,382.0,,,Miniopterus schreibersii Astrovirus 8/PREDICT_B56355,Thailand,,24-Nov-2013,rectal swab,Miniopterus magnater,No,1.0,No,No,NA-NA,,1-382,1.0,NA-NA,,Mammalia
6941,KY054309,KY054309.1,"Miniopterus schreibersii astrovirus 8 isolate Miniopterus schreibersii Astrovirus 8/PREDICT_B56336 clone 284546 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Miniopterus schreibersii astrovirus 8,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,382.0,,,Miniopterus schreibersii Astrovirus 8/PREDICT_B56336,Thailand,,24-Nov-2013,rectal swab,Miniopterus magnater,No,1.0,No,No,NA-NA,,1-382,1.0,NA-NA,,Mammalia
6942,KY054308,KY054308.1,"Miniopterus schreibersii astrovirus 8 isolate Miniopterus schreibersii Astrovirus 8/PREDICT_B56330 clone 284532 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Miniopterus schreibersii astrovirus 8,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,382.0,,,Miniopterus schreibersii Astrovirus 8/PREDICT_B56330,Thailand,,24-Nov-2013,rectal swab,Miniopterus magnater,No,1.0,No,No,NA-NA,,1-382,1.0,NA-NA,,Mammalia
6943,KY054307,KY054307.1,"Miniopterus schreibersii astrovirus 8 isolate Miniopterus schreibersii Astrovirus 8/PREDICT_B56326 clone 284622 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Miniopterus schreibersii astrovirus 8,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,382.0,,,Miniopterus schreibersii Astrovirus 8/PREDICT_B56326,Thailand,,24-Nov-2013,rectal swab,Rhinolophus coelophyllus,No,1.0,No,No,NA-NA,,1-382,1.0,NA-NA,,Mammalia
6944,KY054306,KY054306.1,"Miniopterus schreibersii astrovirus 7 isolate Miniopterus schreibersii Astrovirus 7/PREDICT_B56357 clone 284656 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Miniopterus schreibersii astrovirus 7,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,382.0,,,Miniopterus schreibersii Astrovirus 7/PREDICT_B56357,Thailand,,24-Nov-2013,rectal swab,Miniopterus magnater,No,1.0,No,No,NA-NA,,1-382,1.0,NA-NA,,Mammalia
6945,KY054305,KY054305.1,"Miniopterus schreibersii astrovirus 6/11/12 isolate Miniopterus schreibersii Astrovirus 6/11/12/PREDICT_B56391 clone 284631 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Miniopterus schreibersii astrovirus 6/11/12,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,382.0,,,Miniopterus schreibersii Astrovirus 6/11/12/PREDICT_B56391,Thailand,,24-Nov-2013,rectal swab,Miniopterus magnater,No,1.0,No,No,NA-NA,,1-382,1.0,NA-NA,,Mammalia
6946,KY054304,KY054304.1,"Miniopterus schreibersii astrovirus 6/11/12 isolate Miniopterus schreibersii Astrovirus 6/11/12/PREDICT_B56385 clone 284578 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Miniopterus schreibersii astrovirus 6/11/12,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,382.0,,,Miniopterus schreibersii Astrovirus 6/11/12/PREDICT_B56385,Thailand,,24-Nov-2013,rectal swab,Miniopterus magnater,No,1.0,No,No,NA-NA,,1-382,1.0,NA-NA,,Mammalia
6947,KY054303,KY054303.1,"Miniopterus schreibersii astrovirus 6/11/12 isolate Miniopterus schreibersii Astrovirus 6/11/12/PREDICT_B56358 clone 284659 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Miniopterus schreibersii astrovirus 6/11/12,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,382.0,,,Miniopterus schreibersii Astrovirus 6/11/12/PREDICT_B56358,Thailand,,24-Nov-2013,rectal swab,Miniopterus magnater,No,1.0,No,No,NA-NA,,1-382,1.0,NA-NA,,Mammalia
6948,KY054302,KY054302.1,"Miniopterus schreibersii astrovirus 6/11/12 isolate Miniopterus schreibersii Astrovirus 6/11/12/PREDICT_B56356 clone 284535 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Miniopterus schreibersii astrovirus 6/11/12,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,345.0,,,Miniopterus schreibersii Astrovirus 6/11/12/PREDICT_B56356,Thailand,,24-Nov-2013,rectal swab,Miniopterus magnater,No,1.0,No,No,NA-NA,,1-345,1.0,NA-NA,,Mammalia
6949,KY054301,KY054301.1,"Miniopterus schreibersii astrovirus 6/11/12 isolate Miniopterus schreibersii Astrovirus 6/11/12/PREDICT_B56351 clone 284620 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Miniopterus schreibersii astrovirus 6/11/12,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,345.0,,,Miniopterus schreibersii Astrovirus 6/11/12/PREDICT_B56351,Thailand,,24-Nov-2013,rectal swab,Miniopterus magnater,No,1.0,No,No,NA-NA,,1-345,1.0,NA-NA,,Mammalia
6950,KY054300,KY054300.1,"Miniopterus schreibersii astrovirus 6 isolate Miniopterus schreibersii Astrovirus 6/PREDICT_B56328 clone 284582 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Miniopterus schreibersii astrovirus 6,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,345.0,,,Miniopterus schreibersii Astrovirus 6/PREDICT_B56328,Thailand,,24-Nov-2013,rectal swab,Miniopterus magnater,No,1.0,No,No,NA-NA,,1-345,1.0,NA-NA,,Mammalia
6951,KY054299,KY054299.1,"Miniopterus schreibersii astrovirus 4 isolate Miniopterus schreibersii Astrovirus 4/PREDICT_B56429 clone 284542 RNA-dependent RNA polymerase gene, partial cds",24-FEB-2020,Miniopterus schreibersii astrovirus 4,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,382.0,,,Miniopterus schreibersii Astrovirus 4/PREDICT_B56429,Thailand,,24-Nov-2013,rectal swab,Miniopterus magnater,No,1.0,No,No,NA-NA,,1-382,1.0,NA-NA,,Mammalia
