Accession,Organism_Name,Species,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
OR951287,Myotis bat parechovirus 2,Myotis bat parechovirus 2,,GD2019,3402,partial,China,Myotis pilosus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2019,2024-03-19,ssRNA(+)
OR951291,Myotis bat parechovirus 2,Myotis bat parechovirus 2,,GX2017,6952,partial,China,Myotis pilosus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2017,2024-03-19,ssRNA(+)
OR951293,Myotis bat parechovirus 1,Myotis bat parechovirus 1,,JX2020,7229,partial,China,Myotis pilosus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2020,2024-03-19,ssRNA(+)
OR951294,Myotis bat parechovirus 2,Myotis bat parechovirus 2,,YN2016,6897,partial,China,Myotis pilosus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2016,2024-03-19,ssRNA(+)
OR951295,Rhinolophus bat shanbavirus,Rhinolophus bat shanbavirus,,GD2020,6800,partial,China,Hipposideros armiger,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2020,2024-03-19,ssRNA(+)
OR951296,Hipposideros bat hepatovirus,Hipposideros bat hepatovirus,,YN2016,6910,partial,China,Hipposideros armiger,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2016,2024-03-19,ssRNA(+)
OR951297,Bat picornavirus,Shanbavirus aminfuli,,GD2016_228_5814,6461,partial,China,Miniopterus pusillus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2016,2024-03-19,ssRNA(+)
OR951298,Miniopterus bat shanbavirus 2,Miniopterus bat shanbavirus 2,,GD2016,6584,partial,China,Miniopterus pusillus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2016,2024-03-19,ssRNA(+)
OR951299,Mischivirus A,Mischivirus acombewi,,GD2016,6900,partial,China,Miniopterus pusillus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2016,2024-03-19,ssRNA(+)
OR951300,Miniopterus bat hepatovirus,Miniopterus bat hepatovirus,,GD2016,6451,partial,China,Miniopterus pusillus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2016,2024-03-19,ssRNA(+)
OR951301,Bat mischivirus 5,Bat mischivirus 5,,GD2016,7355,partial,China,Miniopterus pusillus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2016,2024-03-19,ssRNA(+)
OR951303,Miniopterus bat shanbavirus 1,Miniopterus bat shanbavirus 1,,GD2017,6679,partial,China,Miniopterus pusillus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2017,2024-03-19,ssRNA(+)
OR951305,Miniopterus bat shanbavirus 1,Miniopterus bat shanbavirus 1,,GD2017,6837,partial,China,Miniopterus pusillus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2017,2024-03-19,ssRNA(+)
OR951306,Bat mischivirus 5,Bat mischivirus 5,,GD2017,3238,partial,China,Miniopterus pusillus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2017,2024-03-19,ssRNA(+)
OR951307,Bat picornavirus 2,Bat picornavirus 2,,GD2017,7569,partial,China,Miniopterus pusillus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2017,2024-03-19,ssRNA(+)
OR951308,Miniopterus bat shanbavirus 2,Miniopterus bat shanbavirus 2,,HI2019,6560,partial,China,Miniopterus pusillus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2019,2024-03-19,ssRNA(+)
OR951309,Shanbavirus A,Shanbavirus aminfuli,,HI2019,6575,partial,China,Miniopterus pusillus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2019,2024-03-19,ssRNA(+)
OR951317,Taphozous bat hepatovirus,Taphozous bat hepatovirus,,GX2017_242_3607,6972,partial,China,Taphozous melanopogon,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2017,2024-03-19,ssRNA(+)
OR951320,Taphozous bat hepatovirus,Taphozous bat hepatovirus,,GX2017_243_69439,6722,partial,China,Taphozous melanopogon,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2017,2024-03-19,ssRNA(+)
OR951324,Pteropodidae bat teschovirus,Pteropodidae bat teschovirus,,YN2017,6626,partial,China,Eonycteris spelaea,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2017,2024-03-19,ssRNA(+)
OR951325,Pteropodidae bat sapelovirus,Pteropodidae bat sapelovirus,,YN2017_252_13203,7356,partial,China,Eonycteris spelaea,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2017,2024-03-19,ssRNA(+)
OR951326,Pteropodidae bat sapelovirus,Pteropodidae bat sapelovirus,,YN2017_252_16636,7558,partial,China,Eonycteris spelaea,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2017,2024-03-19,ssRNA(+)
OR951327,Pteropodidae bat sapelovirus,Pteropodidae bat sapelovirus,,YN2017_253_1837,7573,partial,China,Eonycteris spelaea,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2017,2024-03-19,ssRNA(+)
OR951330,Kobuvirus femyomini,Kobuvirus femyomini,,JX2020,6115,partial,China,Myotis adversus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2020,2024-03-19,ssRNA(+)
OR951332,Pteropodidae bat sapelovirus,Pteropodidae bat sapelovirus,,YN2016,7315,partial,China,Rousettus leschenaultii,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2016,2024-03-19,ssRNA(+)
OR951333,Pteropodidae bat teschovirus,Pteropodidae bat teschovirus,,YN2016_267_11102,6684,partial,China,Rousettus leschenaultii,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2016,2024-03-19,ssRNA(+)
OR951334,Pteropodidae bat teschovirus,Pteropodidae bat teschovirus,,YN2016_267_16979,6632,partial,China,Rousettus leschenaultii,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2016,2024-03-19,ssRNA(+)
OR951335,Pteropodidae bat teschovirus,Pteropodidae bat teschovirus,,YN2017,6653,partial,China,Rousettus leschenaultii,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2017,2024-03-19,ssRNA(+)
OR951337,Bat picornavirus,Shanbavirus aminfuli,,YN2017,7164,partial,China,Rousettus leschenaultii,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2017,2024-03-19,ssRNA(+)
OR951339,Bat mischivirus 4,Bat mischivirus 4,,GD2016_273_1639,7149,partial,China,Miniopterus schreibersii,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2016,2024-03-19,ssRNA(+)
OR951340,Shanbavirus A,Shanbavirus aminfuli,,GD2016,6696,partial,China,Miniopterus schreibersii,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2016,2024-03-19,ssRNA(+)
OR951341,Mischivirus A,Mischivirus acombewi,,GD2016,7201,partial,China,Miniopterus schreibersii,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2016,2024-03-19,ssRNA(+)
OR951342,Bat mischivirus 4,Bat mischivirus 4,,HI2019,7157,partial,China,Miniopterus schreibersii,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2019,2024-03-19,ssRNA(+)
OR951343,Shanbavirus A,Shanbavirus aminfuli,,HI2019,7018,partial,China,Miniopterus schreibersii,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2019,2024-03-19,ssRNA(+)
OR951344,Kobuvirus femyomini,Kobuvirus femyomini,,GD2017_279_5575,6156,partial,China,Myotis chinensis,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2017,2024-03-19,ssRNA(+)
OR951347,Bat mischivirus 4,Bat mischivirus 4,,GD2016_284_2791,7156,partial,China,Miniopterus schreibersii,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2016,2024-03-19,ssRNA(+)
OR951348,Kobuvirus femyomini,Kobuvirus femyomini,,GD2016,6289,partial,China,Myotis fimbriatus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2016,2024-03-19,ssRNA(+)
OR951349,Ia io picornavirus 1,Ia io picornavirus 1,,YN2016,7673,partial,China,Ia io,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2016,2024-03-19,ssRNA(+)
OR951350,Bat picornavirus,Shanbavirus aminfuli,,YN2016,7376,partial,China,Mops plicatus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2016,2024-03-19,ssRNA(+)
OR951352,Bat picornavirus 3,Bat picornavirus 3,,ZJ2020_294_57461,7496,partial,China,Rhinolophus pusillus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2020,2024-03-19,ssRNA(+)
OR951354,Bat picornavirus 3,Bat picornavirus 3,,ZJ2020_296_6143,7498,partial,China,Rhinolophus pusillus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2020,2024-03-19,ssRNA(+)
OR951359,Hipposideros bat shanbavirus,Hipposideros bat shanbavirus,,Pool-311,6398,partial,China,Rhinolophus sp.,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2020,2024-03-19,ssRNA(+)
OR951360,Bat mischivirus 5,Bat mischivirus 5,,Pool-313,7081,partial,China,Chiroptera sp.,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2020,2024-03-19,ssRNA(+)
OR951361,Ia io picornavirus 1,Ia io picornavirus 1,,YN2020,7309,partial,China,Ia io,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2020,2024-03-19,ssRNA(+)
OR951362,Bat mischivirus 4,Bat mischivirus 4,,YN2020,7042,partial,China,Miniopterus schreibersii,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2020,2024-03-19,ssRNA(+)
OR951363,Bat kobuvirus,Bat kobuvirus,,LN2020,4399,partial,China,Rhinolophus ferrumequinum,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2020,2024-03-19,ssRNA(+)
OR951364,Bat kobuvirus,Bat kobuvirus,,LN2020_328_33437,6401,partial,China,Rhinolophus ferrumequinum,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2020,2024-03-19,ssRNA(+)
OR951365,Bat kobuvirus,Bat kobuvirus,,LN2020_329_62009,7581,partial,China,Rhinolophus ferrumequinum,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2020,2024-03-19,ssRNA(+)
OR951367,Bat picornavirus 3,Bat picornavirus 3,,JX2021,7294,partial,China,Rhinolophus affinis,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2021,2024-03-19,ssRNA(+)
OR951368,Rhinolophus bat shanbavirus,Rhinolophus bat shanbavirus,,JX2021,6542,partial,China,Rhinolophus sinicus,swab,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.",2021,2024-03-19,ssRNA(+)
OR867083,Hepatovirus sp.,Hepatovirus sp.,,HAQL/13130,7416,partial,China: Guizhou,Hipposideros armiger,"feces, abdominal cavity","Yan,X.M.",2022,2024-03-16,ssRNA(+)
OR867084,Hepatovirus sp.,Hepatovirus sp.,,HAXW/11608,5994,partial,China: Guizhou,Hipposideros armiger,"feces, abdominal cavity","Yan,X.M.",2022,2024-03-16,ssRNA(+)
OR867085,Hepatovirus sp.,Hepatovirus sp.,,HAZY/12611,7378,partial,China: Guizhou,Hipposideros armiger,"feces, abdominal cavity","Yan,X.M.",2022,2024-03-16,ssRNA(+)
OR867086,Hepatovirus sp.,Hepatovirus sp.,,HLNN/50370,7356,partial,China: Guangxi,Hipposideros larvatus,brain,"Yan,X.M.",2015,2024-03-16,ssRNA(+)
OR867087,Hepatovirus sp.,Hepatovirus sp.,,HLNNC15/4,7464,partial,China: Guangxi,Hipposideros larvatus,"feces, abdominal cavity","Yan,X.M.",2015,2024-03-16,ssRNA(+)
OR867088,Kobuvirus sp.,Kobuvirus sp.,,MSJDC22/7654,5576,partial,China: Jiangxi,Miniopterus schreibersii,"feces, abdominal cavity","Yan,X.M.",2022,2024-03-16,ssRNA(+)
OR867090,Kobuvirus sp.,Kobuvirus sp.,,SKYHG15/6,4021,partial,China: Guangxi,Scotophilus kuhlii,"liver, abdominal cavity","Yan,X.M.",2015,2024-03-16,ssRNA(+)
OR867092,Mischivirus sp.,Mischivirus sp.,,MSWZC17/6,8474,partial,China: Guangxi,Miniopterus schreibersii,"feces, abdominal cavity","Yan,X.M.",2017,2024-03-16,ssRNA(+)
OR867093,Parechovirus sp.,Parechovirus sp.,,PPYCC16/10,7278,partial,China: Xinjiang,Pipistrellus pipistrellus,"feces, abdominal cavity","Yan,X.M.",2016,2024-03-16,ssRNA(+)
OR867094,Parechovirus sp.,Parechovirus sp.,,PPYCC16/21,3817,partial,China: Xinjiang,Pipistrellus pipistrellus,"feces, abdominal cavity","Yan,X.M.",2016,2024-03-16,ssRNA(+)
OR867322,Picornaviridae sp.,Picornaviridae sp.,,ASYGC15_17/8,3805,partial,China,Aselliscus stoliczkanus,"feces, abdominal cavity","Yan,X.M.",2017,2024-03-16,ssRNA(+)
OR867333,Picornaviridae sp.,Picornaviridae sp.,,HLFCC16/7,3019,partial,China: Guangxi,Hipposideros larvatus,"feces, abdominal cavity","Yan,X.M.",2016,2024-03-16,ssRNA(+)
OR867350,Picornaviridae sp.,Picornaviridae sp.,,HLNNC15/45,3457,partial,China: Guangxi,Hipposideros larvatus,"feces, abdominal cavity","Yan,X.M.",2015,2024-03-16,ssRNA(+)
OR867380,Picornaviridae sp.,Picornaviridae sp.,,JLLYH22/2435,4619,partial,China: Jilin,Hypsugo alaschanicus,,"Yan,X.M.",2022,2024-03-16,ssRNA(+)
OR867445,Picornaviridae sp.,Picornaviridae sp.,,MSGXC17/1,10950,partial,China: Guangxi,Miniopterus schreibersii,"feces, abdominal cavity","Yan,X.M.",2017,2024-03-16,ssRNA(+)
OR867446,Picornaviridae sp.,Picornaviridae sp.,,MSGXC17/3,9915,partial,China: Guangxi,Miniopterus schreibersii,"feces, abdominal cavity","Yan,X.M.",2017,2024-03-16,ssRNA(+)
OR867448,Picornaviridae sp.,Picornaviridae sp.,,MSGXC17/7,3963,partial,China: Guangxi,Miniopterus schreibersii,"feces, abdominal cavity","Yan,X.M.",2017,2024-03-16,ssRNA(+)
OR867478,Picornaviridae sp.,Picornaviridae sp.,,MSJDC22/5926,9016,partial,China: Jiangxi,Miniopterus schreibersii,"feces, abdominal cavity","Yan,X.M.",2022,2024-03-16,ssRNA(+)
OR867490,Picornaviridae sp.,Picornaviridae sp.,,MSJDC22/9299,3031,partial,China: Jiangxi,Miniopterus schreibersii,"feces, abdominal cavity","Yan,X.M.",2022,2024-03-16,ssRNA(+)
OR867494,Picornaviridae sp.,Picornaviridae sp.,,MTGZH22/27942,8963,partial,China: Guizhou,Chiroptera sp.,,"Yan,X.M.",2022,2024-03-16,ssRNA(+)
OR867504,Picornaviridae sp.,Picornaviridae sp.,,PPYXC16/13,4621,partial,China: Xinjiang,Pipistrellus pipistrellus,"feces, abdominal cavity","Yan,X.M.",2016,2024-03-16,ssRNA(+)
OR867510,Picornaviridae sp.,Picornaviridae sp.,,RADXC16/1,15350,partial,China: Guangxi,Rhinolophus affinis,"feces, abdominal cavity","Yan,X.M.",2016,2024-03-16,ssRNA(+)
OR867545,Picornaviridae sp.,Picornaviridae sp.,,RPGX/22411,9419,partial,China: Guangxi,Rhinolophus pearsonii,"feces, abdominal cavity","Yan,X.M.",2017,2024-03-16,ssRNA(+)
OR867546,Picornaviridae sp.,Picornaviridae sp.,,RPGX/22412,8368,partial,China: Guangxi,Rhinolophus pearsonii,"feces, abdominal cavity","Yan,X.M.",2017,2024-03-16,ssRNA(+)
OR867578,Picornaviridae sp.,Picornaviridae sp.,,RPGXC15-17/72,3855,partial,China: Guangxi,Rhinolophus pearsonii,"feces, abdominal cavity","Yan,X.M.",2017,2024-03-16,ssRNA(+)
OR867587,Picornaviridae sp.,Picornaviridae sp.,,RSQJC08_2/12,5460,partial,China: Yunnan,Rhinolophus sinicus,"feces, abdominal cavity","Yan,X.M.",2008,2024-03-16,ssRNA(+)
OR867621,Picornaviridae sp.,Picornaviridae sp.,,RSQJC08_3/3,3684,partial,China: Yunnan,Rhinolophus sinicus,"feces, abdominal cavity","Yan,X.M.",2008,2024-03-16,ssRNA(+)
OR867624,Picornaviridae sp.,Picornaviridae sp.,,RSQJC08_3/4,3419,partial,China: Yunnan,Rhinolophus sinicus,"feces, abdominal cavity","Yan,X.M.",2008,2024-03-16,ssRNA(+)
OR867717,Picornaviridae sp.,Picornaviridae sp.,,TMBSC14/16,6590,partial,China: Guangxi,Taphozous melanopogon,"feces, abdominal cavity","Yan,X.M.",2014,2024-03-16,ssRNA(+)
OR867719,Picornaviridae sp.,Picornaviridae sp.,,TMBSC14/6,8879,partial,China: Guangxi,Taphozous melanopogon,"feces, abdominal cavity","Yan,X.M.",2014,2024-03-16,ssRNA(+)
OR867720,Picornaviridae sp.,Picornaviridae sp.,,TMBSC14/8,7745,partial,China: Guangxi,Taphozous melanopogon,"feces, abdominal cavity","Yan,X.M.",2014,2024-03-16,ssRNA(+)
OR867733,Picornaviridae sp.,Picornaviridae sp.,,TMPEC18/1,6246,partial,China: Xinjiang,Taphozous melanopogon,"feces, abdominal cavity","Yan,X.M.",2018,2024-03-16,ssRNA(+)
OR867735,Picornaviridae sp.,Picornaviridae sp.,,TMPEC18/3,4090,partial,China: Xinjiang,Taphozous melanopogon,"feces, abdominal cavity","Yan,X.M.",2018,2024-03-16,ssRNA(+)
OR867741,Picornaviridae sp.,Picornaviridae sp.,,VSYSC20/6,7090,partial,China: Jilin,Vespertilio sinensis,"feces, abdominal cavity","Yan,X.M.",2020,2024-03-16,ssRNA(+)
OR867746,Picornaviridae sp.,Picornaviridae sp.,,HAGZH22/113471,6828,partial,China: Guizhou,Hipposideros armiger,,"Yan,X.M.",2022,2024-03-16,ssRNA(+)
OR867747,Picornaviridae sp.,Picornaviridae sp.,,HLFCC16/6,3068,partial,China: Guangxi,Hipposideros larvatus,"feces, abdominal cavity","Yan,X.M.",2016,2024-03-16,ssRNA(+)
OR867750,Picornaviridae sp.,Picornaviridae sp.,,JTYGC13_16/3,7098,partial,China,Rhinolophus sp.,"feces, abdominal cavity","Yan,X.M.",2016,2024-03-16,ssRNA(+)
OR867752,Picornaviridae sp.,Picornaviridae sp.,,RADXC16/4,6893,partial,China: Guangxi,Rhinolophus affinis,"feces, abdominal cavity","Yan,X.M.",2016,2024-03-16,ssRNA(+)
OR867755,Picornaviridae sp.,Picornaviridae sp.,,RLRLG16_3/1,7589,partial,China: Yunnan,Rousettus leschenaultii,"liver, abdominal cavity","Yan,X.M.",2016,2024-03-16,ssRNA(+)
OR867757,Picornaviridae sp.,Picornaviridae sp.,,RPGXC15-17/25,7816,partial,China: Guangxi,Rhinolophus pearsonii,"feces, abdominal cavity","Yan,X.M.",2017,2024-03-16,ssRNA(+)
OR867758,Picornaviridae sp.,Picornaviridae sp.,,RPGXG1517/1,7849,partial,China: Guangxi,Rhinolophus pearsonii,"liver, abdominal cavity","Yan,X.M.",2017,2024-03-16,ssRNA(+)
OR867761,Picornaviridae sp.,Picornaviridae sp.,,RSQJF08-1/2,7535,partial,China: Yunnan,Rhinolophus sinicus,lung,"Yan,X.M.",2008,2024-03-16,ssRNA(+)
OR867762,Picornaviridae sp.,Picornaviridae sp.,,RSQJG08_1/3,7483,partial,China: Yunnan,Rhinolophus sinicus,"liver, abdominal cavity","Yan,X.M.",2008,2024-03-16,ssRNA(+)
OR867763,Picornaviridae sp.,Picornaviridae sp.,,RSQJG08_2/1,7460,partial,China: Yunnan,Rhinolophus sinicus,"liver, abdominal cavity","Yan,X.M.",2008,2024-03-16,ssRNA(+)
OR867769,Picornaviridae sp.,Picornaviridae sp.,,SKYHC15/16,4126,partial,China: Guangxi,Scotophilus kuhlii,"feces, abdominal cavity","Yan,X.M.",2015,2024-03-16,ssRNA(+)
OR867771,Picornaviridae sp.,Picornaviridae sp.,,SKYHC15/8,6728,partial,China: Guangxi,Scotophilus kuhlii,"feces, abdominal cavity","Yan,X.M.",2015,2024-03-16,ssRNA(+)
OR867772,Picornaviridae sp.,Picornaviridae sp.,,SKYHG15/3,6748,partial,China: Guangxi,Scotophilus kuhlii,"liver, abdominal cavity","Yan,X.M.",2015,2024-03-16,ssRNA(+)
OR867774,Picornaviridae sp.,Picornaviridae sp.,,SKYSC15/1,6883,partial,China: Guangxi,Scotophilus kuhlii,"feces, abdominal cavity","Yan,X.M.",2015,2024-03-16,ssRNA(+)
OR867777,Picornaviridae sp.,Picornaviridae sp.,,SKYSC15/5,4101,partial,China: Guangxi,Scotophilus kuhlii,"feces, abdominal cavity","Yan,X.M.",2015,2024-03-16,ssRNA(+)
OR867778,Picornaviridae sp.,Picornaviridae sp.,,SKYSC15/6,4029,partial,China: Guangxi,Scotophilus kuhlii,"feces, abdominal cavity","Yan,X.M.",2015,2024-03-16,ssRNA(+)
OR867779,Picornaviridae sp.,Picornaviridae sp.,,TMBSC14/17,5752,partial,China: Guangxi,Taphozous melanopogon,"feces, abdominal cavity","Yan,X.M.",2014,2024-03-16,ssRNA(+)
OR867780,Picornaviridae sp.,Picornaviridae sp.,,TMBSC14/7,7811,partial,China: Guangxi,Taphozous melanopogon,"feces, abdominal cavity","Yan,X.M.",2014,2024-03-16,ssRNA(+)
OR867781,Picornaviridae sp.,Picornaviridae sp.,,TMBSC14/9,7662,partial,China: Guangxi,Taphozous melanopogon,"feces, abdominal cavity","Yan,X.M.",2014,2024-03-16,ssRNA(+)
OR867783,Picornaviridae sp.,Picornaviridae sp.,,TMPEC18/7,3299,partial,China: Xinjiang,Taphozous melanopogon,"feces, abdominal cavity","Yan,X.M.",2018,2024-03-16,ssRNA(+)
OR867785,Picornaviridae sp.,Picornaviridae sp.,,VSYSC20/19,3859,partial,China: Jilin,Vespertilio sinensis,"feces, abdominal cavity","Yan,X.M.",2020,2024-03-16,ssRNA(+)
OR868173,Shanbavirus sp.,Shanbavirus sp.,,MSJDC22/7118,5573,partial,China: Jiangxi,Miniopterus schreibersii,"feces, abdominal cavity","Yan,X.M.",2022,2024-03-16,ssRNA(+)
OR871124,Picornaviridae sp.,Picornaviridae sp.,,JTGZC22/22865,8356,partial,China: Guizhou,Rhinolophus sp.,"feces, abdominal cavity","Yan,X.M.",2022,2024-03-16,ssRNA(+)
OR871126,Picornaviridae sp.,Picornaviridae sp.,,HAFQC22/222945,7847,partial,China: Guizhou,Hipposideros armiger,"feces, abdominal cavity","Yan,X.M.",2022,2024-03-16,ssRNA(+)
OR871127,Picornaviridae sp.,Picornaviridae sp.,,HPGXC13/5,4457,partial,China: Guangxi,Hipposideros pomona,"feces, abdominal cavity","Yan,X.M.",2013,2024-03-16,ssRNA(+)
OR871129,Picornaviridae sp.,Picornaviridae sp.,,HPHC/17296,9279,partial,China: Guangxi,Hipposideros pomona,"feces, abdominal cavity","Yan,X.M.",2015,2024-03-16,ssRNA(+)
OR871131,Picornaviridae sp.,Picornaviridae sp.,,JLLYH22/38981,3662,partial,China: Jilin,Hypsugo alaschanicus,,"Yan,X.M.",2022,2024-03-16,ssRNA(+)
